Upload Date,title,webpage_url,Duration,Video ID,Transcript
23/12/20,Welcome to the Huberman Lab Podcast,https://www.youtube.com/watch?v=4b6bwcWK6GE,263,4b6bwcWK6GE,/transcripts/4b6bwcWK6GE/4b6bwcWK6GE__transcript.txt
04/01/21,How Your Nervous System Works & Changes -- Huberman Lab Podcast #1,https://www.youtube.com/watch?v=H-XfCl-HpRM,3751,H-XfCl-HpRM,/transcripts/H-XfCl-HpRM/H-XfCl-HpRM__transcript.txt
11/01/21,Master Your Sleep & Be More Alert When Awake -- Huberman Lab Podcast #2,https://www.youtube.com/watch?v=nm1TxQj9IsQ,4925,nm1TxQj9IsQ,/transcripts/nm1TxQj9IsQ/nm1TxQj9IsQ__transcript.txt
18/01/21,"Using Science to Optimize Sleep, Learning & Metabolism -- Huberman Lab Podcast #3",https://www.youtube.com/watch?v=nwSkFq4tyC0,6086,nwSkFq4tyC0,/transcripts/nwSkFq4tyC0/nwSkFq4tyC0__transcript.txt
25/01/21,"Find Your Temperature Minimum to Defeat Jetlag, Shift Work & Sleeplessness -- Huberman Lab Podcast #4",https://www.youtube.com/watch?v=NAATB55oxeQ,6655,NAATB55oxeQ,/transcripts/NAATB55oxeQ/NAATB55oxeQ__transcript.txt
01/02/21,Understanding and Using Dreams to Learn and to Forget -- Huberman Lab Podcast #5,https://www.youtube.com/watch?v=FFwA0QFmpQ4,4669,FFwA0QFmpQ4,/transcripts/FFwA0QFmpQ4/FFwA0QFmpQ4__transcript.txt
08/02/21,How to Focus to Change Your Brain -- Huberman Lab Podcast #6,https://www.youtube.com/watch?v=LG53Vxum0as,5383,LG53Vxum0as,/transcripts/LG53Vxum0as/LG53Vxum0as__transcript.txt
15/02/21,"Using Failures, Movement & Balance to Learn Faster -- Huberman Lab Podcast #7",https://www.youtube.com/watch?v=hx3U64IXFOY,5285,hx3U64IXFOY,/transcripts/hx3U64IXFOY/hx3U64IXFOY__transcript.txt
22/02/21,Optimize Your Learning & Creativity with Science-based Tools -- Huberman Lab Podcast #8,https://www.youtube.com/watch?v=uuP-1ioh4LY,5435,uuP-1ioh4LY,/transcripts/uuP-1ioh4LY/uuP-1ioh4LY__transcript.txt
01/03/21,Control Pain & Heal Faster with Your Brain -- Huberman Lab Podcast #9,https://www.youtube.com/watch?v=mcPSRWUYCv0,5878,mcPSRWUYCv0,/transcripts/mcPSRWUYCv0/mcPSRWUYCv0__transcript.txt
08/03/21,Tools for Managing Stress & Anxiety -- Huberman Lab Podcast #10,https://www.youtube.com/watch?v=ntfcfJ28eiU,5904,ntfcfJ28eiU,/transcripts/ntfcfJ28eiU/ntfcfJ28eiU__transcript.txt
15/03/21,How Foods and Nutrients Control Our Moods -- Huberman Lab Podcast #11,https://www.youtube.com/watch?v=XfURDjegrAw,6247,XfURDjegrAw,/transcripts/XfURDjegrAw/XfURDjegrAw__transcript.txt
